id	rate
31153	371
31155	192
31157	425
31159	71
31161	75
31163	
31165	
31167	
31169	
31171	
31173	698
31175	142
31177	237
31179	230
31181	
31183	
31185	204
32001	299
32003	464
32005	157
32007	289
32009	
32011	
32013	287
32015	303
32017	
32019	283
32021	623
32023	116
32027	104
32029	
32031	391
32033	209
32510	346
33001	244
33003	80
33005	243
33007	193
33009	265
33011	272
33013	243
33015	177
33017	276
33019	293
34001	463
34003	150
34005	298
34007	529
34009	264
34011	655
34013	663
34015	259
34017	356
34019	110
34021	466
34023	256
34025	195
34027	120
34029	134
34031	459
34033	298
34035	173
34037	124
34039	335
34041	176
35001	684
35003	
35005	491
35006	607
35007	219
35009	573
35011	208
35013	598
35015	448
35017	436
35019	565
35021	
35023	250
35025	538
35027	310
35028	83
35029	603
35031	1101
35033	510
35035	489
35037	433
35039	605
35041	646
35043	435
35045	677
35047	682
35049	432
35051	353
35053	443
35055	461
35057	337
35059	248
35061	475
36001	468
36003	236
36005	1144
36007	337
36009	301
36011	327
36013	359
36015	382
36017	328
36019	309
36021	211
36023	400
36025	256
36027	277
36029	532
36031	177
36033	197
36035	288
36037	322
36039	255
36041	
36043	284
36045	576
36047	694
36049	217
36051	188
36053	251
36055	613
36057	254
36059	245
36061	706
36063	387
36065	370
36067	517
36069	301
36071	293
36073	303
36075	306
36077	344
36079	108
36081	488
36083	371
36085	306
36087	235
36089	199
36091	208
36093	454
36095	234
36097	140
36099	275
36101	273
36103	225
36105	316
36107	232
36109	267
36111	248
36113	302
36115	203
36117	266
36119	331
36121	196
36123	233
37001	333
37003	198
37005	210
37007	509
37009	41
37011	68
37013	549
37015	533
37017	604
37019	224
37021	367
37023	250
37025	361
37027	216
37029	387
37031	269
37033	280
37035	351
37037	256
37039	107
37041	406
37043	113
37045	384
37047	392
37049	527
37051	1114
37053	291
37055	301
37057	333
37059	263
37061	345
37063	716
37065	967
37067	700
37069	335
37071	605
37073	388
37075	126
37077	415
37079	392
37081	748
37083	780
37085	383
37087	194
37089	194
37091	663
37093	489
37095	222
37097	286
37099	267
37101	314
37103	302
37105	522
37107	652
37109	247
37111	242
37113	218
37115	222
37117	559
37119	628
37121	104
37123	387
37125	324
37127	583
37129	446
37131	667
37133	808
37135	341
37137	283
37139	778
37141	282
37143	383
37145	405
37147	949
37149	118
37151	256
37153	478
37155	752
37157	329
37159	525
37161	287
37163	416
37165	826
37167	304
37169	231
37171	207
37173	297
37175	240
37177	599
37179	220
37181	800
37183	442
37185	525
37187	660
37189	224
37191	658
37193	152
37195	519
37197	265
37199	85
38001	
38003	127
38005	1331
38007	
38009	243
38011	125
38013	
38015	430
38017	454
38019	177
38021	
38023	180
38025	252
38027	
38029	
38031	
38033	222
38035	428
38037	
38039	
38041	588
38043	
38045	
38047	260
38049	121
38051	145
38053	401
38055	140
38057	59
38059	423
38061	779
38063	325
38065	
38067	96
38069	112
38071	459
38073	
38075	274
38077	240
38079	1203
38081	103
38083	
38085	1564
38087	
38089	347
38091	
38093	220
38095	259
38097	173
38099	118
38101	620
38103	94
38105	656
39001	180
39003	468
39005	189
39007	272
39009	519
39011	247
39013	274
39015	207
39017	304
39019	210
39021	202
39023	410
39025	247
39027	246
39029	235
39031	272
39033	273
39035	792
39037	278
39039	346
39041	184
39043	427
39045	254
39047	190
39049	655
39051	273
39053	254
39055	122
39057	300
39059	296
39061	821
39063	333
39065	193
39067	210
39069	292
39071	240
39073	232
39075	79
39077	265
39079	179
39081	320
39083	175
39085	292
39087	175
39089	341
39091	341
39093	346
39095	629
39097	228
39099	416
39101	500
39103	157
39105	161
39107	174
39109	280
39111	137
39113	568
39115	148
39117	197
39119	282
39121	123
39123	196
39125	207
39127	205
39129	243
39131	239
39133	221
39135	150
39137	132
39139	393
39141	214
39143	288
39145	278
39147	253
39149	285
39151	382
39153	441
39155	358
39157	272
39159	349
39161	195
39163	340
39165	161
39167	174
39169	178
39171	221
39173	328
39175	150
40001	467
40003	212
40005	478
40007	
40009	602
40011	409
40013	652
40015	384
40017	284
40019	370
40021	602
40023	599
40025	
40027	360
40029	604
40031	814
40033	422
40035	441
40037	362
40039	606
40041	338
40043	209
40045	
40047	520
40049	315
40051	326
40053	332
40055	362
40057	241
40059	190
40061	332
40063	318
40065	686
40067	204
40069	536
40071	347
40073	240
40075	505
40077	436
40079	399
40081	263
40083	504
40085	230
40087	286
40089	696
40091	471
40093	182
40095	351
40097	411
40099	315
40101	652
